mlsno,area,soldprice,solddate,type,style,bdrm,wshrm,latitude,longitude,house_condo,maint,aptno,address
W3854388,Streetsville,1050000,2017-06-30,Detached,2-Storey,4,3,43.5762637,-79.729552,house,,,"2500 Hargood Pl, Mississauga"
W3817888,Cooksville,668000,2017-06-29,Semi-Detached,Bungalow-Raised,3,2,43.5636121,-79.6224754,house,,,"551 Cavell Dr, Mississauga"
W3850685,Applewood,670000,2017-06-29,Semi-Detached,Bungalow-Raised,3,2,43.6128743,-79.6079327,house,,,"3582 Birchmeadow Cres, Mississauga"
W3848786,Rathwood,804500,2017-06-29,Detached,2-Storey,3,3,43.616948,-79.6134344,house,,,"4186 Uxbridge Lane, Mississauga"
W3835920,Hurontario,889500,2017-06-29,Semi-Detached,2-Storey,4,4,43.5954636,-79.6648383,house,,,"4597 Centretown Way, Mississauga"
W3831279,Hurontario,905000,2017-06-29,Detached,2-Storey,4,4,43.6050003,-79.6676185,house,,,"308 Wendron Cres, Mississauga"
W3852453,Central Erin Mills,1060000,2017-06-29,Detached,2-Storey,4,3,43.5737078,-79.7167571,house,,,"2421 Yorktown Circ, Mississauga"
W3850663,Hurontario,1055000,2017-06-29,Detached,2-Storey,4,4,43.6160938,-79.6503111,house,,,"5208 Forestwalk Circ, Mississauga"
W3849806,Mineola,1080000,2017-06-29,Detached,Bungalow,2,2,43.569918,-79.5760836,house,,,"490 Avonwood Dr, Mississauga"
W3786174,Central Erin Mills,1460000,2017-06-29,Detached,2-Storey,4,4,43.5656046,-79.6943079,house,,,"4611 Badminton Dr, Mississauga"
W3845839,Clarkson,720000,2017-06-29,Semi-Detached,Backsplit 4,3,2,43.5072459,-79.652931,house,,,"1400 Buckby Rd, Mississauga"
W3830530,Applewood,235000,2017-06-29,Condo Apt,Apartment,1,1,43.6095386,-79.5891624,condo,434.47,204,"3105 Queen Frederica Dr, Mississauga"
W3850222,Hurontario,355000,2017-06-29,Condo Townhouse,Apartment,2,1,43.6169686,-79.6642886,condo,469.3,163,"85 Bristol Rd, Mississauga"
W3851550,City Centre,384500,2017-06-29,Comm Element Condo,Multi-Level,1,2,43.5895049,-79.6479385,condo,477.03,311,"365 Prince Of Wales Dr, Mississauga"
W3858549,Meadowvale,440000,2017-06-29,Condo Townhouse,Multi-Level,3,1,43.584966,-79.7628108,condo,447,70,"6780 Formentera Ave, Mississauga"
W3852890,Mineola,610100,2017-06-29,Condo Townhouse,2-Storey,3,2,43.5623125,-79.5900394,condo,394.72,25,"20 Mineola Rd, Mississauga"
W3844261,Malton,643111,2017-06-28,Semi-Detached,Bungalow-Raised,3,4,43.7211761,-79.6451656,house,,,"7452 Catalpa Rd, Mississauga"
W3854789,Rathwood,1350000,2017-06-28,Detached,2-Storey,5,4,43.6383144,-79.5892866,house,,,"4029 Garnetwood Chse, Mississauga"
W3850371,Erin Mills,625000,2017-06-28,Semi-Detached,Bungalow,3,2,43.5418223,-79.6990504,house,,,"4102 Jefton Cres, Mississauga"
W3851916,Churchill Meadows,660000,2017-06-28,Att/Row/Twnhouse,2-Storey,3,3,43.5381921,-79.7314379,house,,,"3735 Nightstar Dr, Mississauga"
W3844077,Lisgar,672000,2017-06-28,Semi-Detached,2-Storey,3,3,43.5818692,-79.782755,house,,,"3404 Spirea Terr, Mississauga"
W3834922,Erin Mills,662500,2017-06-28,Semi-Detached,2-Storey,3,2,43.5366697,-79.6799115,house,,,"3278 Chokecherry Cres, Mississauga"
W3821182,Churchill Meadows,745000,2017-06-28,Att/Row/Twnhouse,2-Storey,3,4,43.5459739,-79.7471152,house,,,"3883 Talias Cres, Mississauga"
W3849788,Port Credit,1150000,2017-06-28,Detached,2-Storey,2,2,43.5478042,-79.585552,house,,,"36 John St, Mississauga"
W3823748,East Credit,1555000,2017-06-28,Detached,2-Storey,4,4,43.5749887,-79.6900694,house,,,"1638 Barbertown Rd, Mississauga"
W3851382,Clarkson,783000,2017-06-28,Detached,Sidesplit 4,4,2,43.5166701,-79.6409868,house,,,"2165 Utley Rd, Mississauga"
W3831299,Erin Mills,935000,2017-06-28,Detached,2-Storey,4,4,43.5236911,-79.6920331,house,,,"3343 Turnstone Cres, Mississauga"
W3851393,Clarkson,1075888,2017-06-28,Detached,Bungalow-Raised,3,3,43.5194896,-79.6127161,house,,,"1404 Petrie Way, Mississauga"
